objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,Unknown1.jpg,,,Portrait of a 19th Century African American Man,Unknown,,,,,,,JSU Permanent Collection,,Image;StillImage,image/jpeg,eng,JSU,
coll002,Unknown2.jpg,,,Portrait of a 19th Century African American Woman,Unknown,,,,,,,JSu Permanent Collection,,Image;StillImage,image/jpeg,,JSU,
coll003,Griffin2 .jpg,,,Juanita,"Griffin, Karl",1960s,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll004,Eloby2.jpg,,,Self Portrait,"Eloby, Thomas",1968,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll005,Eloby.jpg,,,Landscape,"Eloby, Thomas",1970s,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll006,Unknown3.jpg,,,Brown and Gold Abstract,Unknown,,,,,,,JSU Permanent Collection,,Image;StillImage,image/jpeg,,JSU,
coll007,Coleman1.jpg,,,Large figure and football field,"Coleman, Floyd",,,,,,,JSU Permanent Collection,,Image;StillImage,image/jpeg,,JSU,
coll008,Gordon6.jpg,,,Kneeling Football Player,"Gordon, Brockford",,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll009,Federico.jpg,,,Untitled “Abstract Urban Landscape”,Federico,1963,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll010,Schnell1.jpg,,,Landscape With a Bridge,"Schnell, Ron",,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll016,Sibiya.jpg,,,Two figures with bull and bird,"Sibiya, Lucky",1979,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll017,Ntukawana1.jpg,,,Figure with Double Body,"Ntukawana, Hargreares",,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll018,Ntukawana2.jpg,,,Figure with Jug,"Ntukawana, Hargreares",,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll019,Ntukawana3.jpg,,,Figure with Guitar/Lyre,"Ntukawana, Hargreares",,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll020,Ntukawana4.jpg,,,Figure with Small Bird,"Ntukawana, Hargreares",,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll021,Kobeli.jpg,,,Musicians,"Kobeli, Eli",1980,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll022,Freeman.jpg,,,Photographs; 1 portfolio (12 photographic prints) Edition 13/45,"Freeman, Rowland",1997,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll024,Johnson.jpg,,,Haunted House,"Johnson, Cliff",1966,,,,,,JSU Permanent Collection,,Image;StillImage,image/jpeg,,JSU,
coll025,Colker.jpg,,,Sign and Symbol,"Colker, Edward",1967,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll029,Merriweather2.jpg,,,Middle Passage,"Merriweather, Lester Julian",2000,,,,,,JSU Permanent Collection,,Image;StillImage,image/jpeg,,JSU,
coll030,Macklin.jpg,,,Abstract Landscape,Macklin,,,,,,,JSU Permanent Collection,,Image;StillImage,image/jpeg,,JSU,
coll031,Angela.jpg,,,Impressioned Landscape,"M, Angela",1973,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll033,Coleman3.jpg,,,Study #17,"Coleman, Floyd Willis",1971,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll034,Azogini.jpg,,,Untitled “Sketch of a Man” #71,"Azogini, Dominic",,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll035,Attma.jpg,,,Passage,Attma,,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll036,Majors.jpg,,,Burning Bush,"Majors, William",1966,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll037,Fink.jpg,,,The Foot Path #137/210,"Fink, Herbert",1966,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll038,Oosting.jpg,,,Autumn,"Oosting, Jeane-Holland",1966,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll039,Merriweather1.jpg,,,Foundations,"Julian, L",2000,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll042,Malone.jpg,,,"Spring Night, 123/210","Malone, Robert",1966,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll043,Lassiter2.jpg,,,Ecco Homo,"Lassiter, Lewis",1991,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll044,lassiter3.jpg,,,Las Cruces,"Lassiter, Lewis",1991,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll045,Jones.jpg,,,Portrait of Dr. Julius Henry Taylor,"Jones, Lawrence",1950,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll046,Flemister.jpg,,,Plotters,"Flemister, Fred",1941,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll048,Woodruff.jpg,,,"Portrait of Paul Johnson, Sr","Woodruff, Hale Aspacio",1947,Painting of Governor Johnson,Portraits,"Jackson, Mississippi",,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll051,Gebedenboek.jpg,,,Page from Gebendenboek,Unknown,c.1450,,,,,,JSU Permanent Collection,,Image;StillImage,image/jpeg,,JSU,
coll052,Brady.jpg,,,Subject (Martin Luther King/MS map) #79/1,"Brady, Chris",1988,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll053,Coleman2.jpg,,,Mississippi Suite: Study,"Coleman, Floyd Willis",1984,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll054,Gordon1.jpg,,,Officer at the Flood,"Gordon, Brockford",,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll055,Gordon.jpg,,,Jackson Flood,"Gordon, Brockford",,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll056,Gordon5.jpg,,,Sewing Machine,"Gordon, Brockford",,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll057,Gordon4.jpg,,,Eggs,"Gordon, Brockford",,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll058,Gordon2.jpg,,,Fig Leaf,"Gordon, Brockford",,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll059,Griffin4.jpg,,,Connie,"Griffin, Karl",1960s,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll060,Griffin3.jpg,,,Nude Woman,"Griffin, Karl",1960s,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll061,Griffin1.jpg,,,Figure Study,"Griffin, Karl",1960s,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll062,Harris.jpg,,,Untitled “Sketched Faces”,"Harris, Lee",1977,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll063,Lassiter1.jpg,,,Mannequins,"Lassiter, Lewis",1990,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll064,Macala1.jpg,,,Face,"Macala, Ben",1980,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll065,Macala2.jpg,,,Untitled (Abstract Portrait of a Woman 2),"Macala, Ben",1979,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll066,Moore.jpg,,,Struggle,"Moore, C. W.",1964,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll067,Ndaba.jpg,,,Two Women (1),"Ndaba, Godfrey",1980,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll068,Ndaba1.jpg,,,Two Women (2),"Ndaba, Godfrey",1980,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll069,O_Hara.jpg,,,Three Young Women,"O'Hara, Anne",1994,,,,,,JSU Permanent Collection,,Image;StillImage,image/jpeg,,JSU,
coll070,Stephenson.jpg,,,Untitled (Dress),"Stephenson, Lynette, K.",,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll071,Stevens.jpg,,,Young Man,"Stevens, Hugh, E.",1970s,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll076,Toneyama.jpg,,,Sunset,"Toneyama, Kojin",1966,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll078,Lynn.jpg,,,Red Manse,"Lynn, Terry",2008,,,,,,JSU Permanent Collection,,Image;StillImage,image/jpeg,,JSU,
coll082,Oneal.jpg,,,Chairs and Tables or Workshop in Painting,"Lovelace, Mary O'Neal",1987,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll083,Douyon.jpg,,,Ceramic Pot,"Douyon, Marcus",1980s,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
coll084,Meyers.jpg,,,Untitled,"Meyers, Chalmers",1999,,,,,,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,
